
===== energy_monitoring.log =====
2026-08-02 12:16:47,812 | ERROR | Unable to open Modbus port COM7 for slave 2.
2026-08-02 12:16:47,812 | WARNING | Modbus read failed for meter MTR-002 on COM7 slave 2 register 1845 count 4: connection unavailable
2026-08-02 12:16:47,813 | INFO | Meter MTR-002 status changed from warning to offline (no readings received).
2026-08-02 12:16:47,813 | WARNING | No readings received in this cycle for meter MTR-002.
2026-08-02 12:16:47,816 | INFO | Polling cycle ended at 2026-08-02T06:46:47.816304+00:00 after 0.188s across 2 meter(s).
2026-08-02 12:19:47,826 | INFO | Polling cycle started at 2026-08-02T06:49:47.826471+00:00.
2026-08-02 12:19:48,005 | WARNING | Configured COM port COM5 is not currently present on this machine. Available ports: COM3, COM4. Polling will keep retrying if the adapter reconnects.
2026-08-02 12:19:48,006 | WARNING | Configured COM port COM7 is not currently present on this machine. Available ports: COM3, COM4. Polling will keep retrying if the adapter reconnects.
2026-08-02 12:19:48,007 | INFO | Polling meter MTR-001 on COM5 slave 1.
2026-08-02 12:19:48,007 | INFO | Attempting Modbus connection on COM5 with 9600 baud, parity N, stop bits 1, byte size 8, timeout 2.00s.
2026-08-02 12:19:48,009 | ERROR | Unable to open Modbus port COM5 for slave 1.
2026-08-02 12:19:48,009 | WARNING | Modbus read failed for meter MTR-001 on COM5 slave 1 register 1845 count 4: connection unavailable
2026-08-02 12:19:48,010 | INFO | Meter MTR-001 status changed from warning to offline (no readings received).
2026-08-02 12:19:48,010 | WARNING | No readings received in this cycle for meter MTR-001.
2026-08-02 12:19:48,010 | INFO | Polling meter MTR-002 on COM7 slave 2.
2026-08-02 12:19:48,011 | INFO | Attempting Modbus connection on COM7 with 9600 baud, parity N, stop bits 1, byte size 8, timeout 2.00s.
2026-08-02 12:19:48,012 | ERROR | Unable to open Modbus port COM7 for slave 2.
2026-08-02 12:19:48,012 | WARNING | Modbus read failed for meter MTR-002 on COM7 slave 2 register 1845 count 4: connection unavailable
2026-08-02 12:19:48,012 | INFO | Meter MTR-002 status changed from warning to offline (no readings received).
2026-08-02 12:19:48,013 | WARNING | No readings received in this cycle for meter MTR-002.
2026-08-02 12:19:48,017 | INFO | Polling cycle ended at 2026-08-02T06:49:48.017527+00:00 after 0.191s across 2 meter(s).
2026-08-02 12:22:48,029 | INFO | Polling cycle started at 2026-08-02T06:52:48.029045+00:00.
2026-08-02 12:22:48,127 | WARNING | Configured COM port COM5 is not currently present on this machine. Available ports: COM3, COM4. Polling will keep retrying if the adapter reconnects.
2026-08-02 12:22:48,127 | WARNING | Configured COM port COM7 is not currently present on this machine. Available ports: COM3, COM4. Polling will keep retrying if the adapter reconnects.
2026-08-02 12:22:48,130 | INFO | Polling meter MTR-001 on COM5 slave 1.
2026-08-02 12:22:48,131 | INFO | Attempting Modbus connection on COM5 with 9600 baud, parity N, stop bits 1, byte size 8, timeout 2.00s.
2026-08-02 12:22:48,133 | ERROR | Unable to open Modbus port COM5 for slave 1.
2026-08-02 12:22:48,133 | WARNING | Modbus read failed for meter MTR-001 on COM5 slave 1 register 1845 count 4: connection unavailable
2026-08-02 12:22:48,134 | INFO | Meter MTR-001 status changed from warning to offline (no readings received).
2026-08-02 12:22:48,135 | WARNING | No readings received in this cycle for meter MTR-001.
2026-08-02 12:22:48,135 | INFO | Polling meter MTR-002 on COM7 slave 2.
2026-08-02 12:22:48,136 | INFO | Attempting Modbus connection on COM7 with 9600 baud, parity N, stop bits 1, byte size 8, timeout 2.00s.
2026-08-02 12:22:48,141 | ERROR | Unable to open Modbus port COM7 for slave 2.
2026-08-02 12:22:48,142 | WARNING | Modbus read failed for meter MTR-002 on COM7 slave 2 register 1845 count 4: connection unavailable
2026-08-02 12:22:48,143 | INFO | Meter MTR-002 status changed from warning to offline (no readings received).
2026-08-02 12:22:48,143 | WARNING | No readings received in this cycle for meter MTR-002.
2026-08-02 12:22:48,151 | INFO | Polling cycle ended at 2026-08-02T06:52:48.151085+00:00 after 0.122s across 2 meter(s).

===== backend_watchdog.log =====
2026-07-24T15:17:24.5144483+05:30 | WATCHDOG STARTED: project=D:\FFPL\energy-monitoring-system pid=15392.
2026-07-24T15:17:24.5582398+05:30 | BACKEND STARTING: executable=D:\FFPL\energy-monitoring-system\.venv\Scripts\python.exe.
2026-07-24T15:34:08.4915766+05:30 | WATCHDOG STARTED: project=D:\FFPL\energy-monitoring-system pid=24248.
2026-07-24T15:34:08.5165603+05:30 | BACKEND STARTING: executable=D:\FFPL\energy-monitoring-system\.venv\Scripts\python.exe.
2026-07-25T14:34:18.2816443+05:30 | WATCHDOG STARTED: project=D:\FFPL\energy-monitoring-system pid=2980.
2026-07-25T14:34:18.3708093+05:30 | BACKEND STARTING: executable=D:\FFPL\energy-monitoring-system\.venv\Scripts\python.exe.
